iter	RMSE
0	14.83096354
1	14.81284762
2	14.79390993
3	14.77153435
4	14.74677522
5	14.72701152
6	14.70705956
7	14.68973195
8	14.67628449
9	14.65350148
10	14.63721592
11	14.61102318
12	14.59907901
13	14.58489642
14	14.56786406
15	14.5493626
16	14.52075256
17	14.50772363
18	14.48626104
19	14.46405981
20	14.45026983
21	14.44232617
22	14.4295982
23	14.40132464
24	14.38165356
25	14.35997228
26	14.34141632
27	14.33358869
28	14.31363082
29	14.29963635
30	14.28684996
31	14.26431056
32	14.23829434
33	14.2165918
34	14.19743507
35	14.18113144
36	14.1622832
37	14.15519222
38	14.13884246
39	14.12223734
40	14.1118328
41	14.09832786
42	14.08189017
43	14.06327497
44	14.05108669
45	14.03958546
46	14.02615033
47	14.01358884
48	14.00249263
49	13.99207686
50	13.98335968
51	13.96127096
52	13.9443735
53	13.94307078
54	13.92919165
55	13.90732118
56	13.89470746
57	13.88779941
58	13.8751822
59	13.86016673
60	13.84378768
61	13.82367933
62	13.81720565
63	13.80992093
64	13.79955111
65	13.78916065
66	13.77948073
67	13.77268941
68	13.76287902
69	13.75008591
70	13.74325375
71	13.73007116
72	13.70537146
73	13.68441686
74	13.66192446
75	13.6536344
76	13.6428412
77	13.62636192
78	13.61429091
79	13.59526146
80	13.57881005
81	13.55207017
82	13.54713381
83	13.54142592
84	13.53165816
85	13.51788784
86	13.50522722
87	13.49417329
88	13.47719201
89	13.46761526
90	13.46224438
91	13.45676695
92	13.44104862
93	13.43133621
94	13.41830573
95	13.40583599
96	13.39613389
97	13.38385614
98	13.37335144
99	13.36151868
100	13.3549278
101	13.34697296
102	13.33059906
103	13.3281783
104	13.31091167
105	13.29751463
106	13.29089919
107	13.2879644
108	13.27961702
109	13.27389593
110	13.25979213
111	13.24867217
112	13.23714994
113	13.22673525
114	13.20885788
115	13.19879764
116	13.18213031
117	13.16638282
118	13.15729216
119	13.14752558
120	13.13445888
121	13.116857
122	13.10064391
123	13.08476232
124	13.0721759
125	13.06618056
126	13.0460795
127	13.03616806
128	13.02349439
129	13.01164202
